sample_name	ligation_id	organism	isolate	tissue	sex	collection_date	dev_stage
APCL14_141_L0927	L0927	Amphiprion clarkii	not applicable	tail fin	male	2014-06-16	adult
APCL14_185_L0928	L0928	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_193_L0929	L0929	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_204_L0930	L0930	Amphiprion clarkii	not applicable	tail fin	female	2014-06-18	adult
APCL14_220_L0931	L0931	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_221_L0932	L0932	Amphiprion clarkii	not applicable	tail fin	male	2014-06-18	adult
APCL14_255_L0933	L0933	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_383_L0934	L0934	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_391_L0935	L0935	Amphiprion clarkii	not applicable	tail fin	male	2014-06-23	adult
APCL14_450_L0936	L0936	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_461_L0937	L0937	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-26	juvenile
APCL14_556_L0942	L0942	Amphiprion clarkii	not applicable	tail fin	male	2014-07-02	adult
APCL13_635_L0943	L0943	Amphiprion clarkii	not applicable	tail fin	female	2013-06-04	adult
APCL13_658_L0944	L0944	Amphiprion clarkii	not applicable	tail fin	male	2013-06-04	adult
APCL14_007_L0945	L0945	Amphiprion clarkii	not applicable	tail fin	female	2014-06-07	adult
APCL14_015_L0946	L0946	Amphiprion clarkii	not applicable	tail fin	female	2014-06-10	adult
APCL14_032_L0947	L0947	Amphiprion clarkii	not applicable	tail fin	male	2014-06-12	adult
APCL14_045_L0948	L0948	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-12	juvenile
APCL14_053_L0949	L0949	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-12	juvenile
APCL14_056_L0950	L0950	Amphiprion clarkii	not applicable	tail fin	female	2014-06-12	adult
APCL14_057_L0951	L0951	Amphiprion clarkii	not applicable	tail fin	female	2014-06-12	adult
APCL14_061_L0952	L0952	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-12	juvenile
APCL14_063_L0953	L0953	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-12	juvenile
APCL14_134_L0954	L0954	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-16	juvenile
APCL14_152_L0955	L0955	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-16	juvenile
APCL14_160_L0956	L0956	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_165_L0957	L0957	Amphiprion clarkii	not applicable	tail fin	male	2014-06-17	adult
APCL14_194_L0958	L0958	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_210_L0959	L0959	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_218_L0960	L0960	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_236_L0961	L0961	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_386_L0962	L0962	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_403_L0963	L0963	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_404_L0964	L0964	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_411_L0965	L0965	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_458_L0967	L0967	Amphiprion clarkii	not applicable	tail fin	male	2014-06-26	adult
APCL14_543_L0973	L0973	Amphiprion clarkii	not applicable	tail fin	male	2014-07-02	adult
APCL14_555_L0974	L0974	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-07-02	juvenile
APCL13_613_L0975	L0975	Amphiprion clarkii	not applicable	tail fin	female	2013-06-04	adult
APCL13_629_L0976	L0976	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_631_L0977	L0977	Amphiprion clarkii	not applicable	tail fin	male	2013-06-04	adult
APCL13_634_L0978	L0978	Amphiprion clarkii	not applicable	tail fin	male	2013-06-04	adult
APCL13_651_L0979	L0979	Amphiprion clarkii	not applicable	tail fin	male	2013-06-04	adult
APCL13_651_L0980	L0980	Amphiprion clarkii	not applicable	tail fin	male	2013-06-04	adult
APCL13_666_L0981	L0981	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_667_L0982	L0982	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL14_001_L0983	L0983	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-07	juvenile
APCL14_014_L0984	L0984	Amphiprion clarkii	not applicable	tail fin	female	2014-06-10	adult
APCL14_048_L0985	L0985	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-12	juvenile
APCL14_058_L0986	L0986	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-12	juvenile
APCL14_068_L0987	L0987	Amphiprion clarkii	not applicable	tail fin	male	2014-06-13	adult
APCL14_103_L0988	L0988	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_107_L0989	L0989	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_121_L0990	L0990	Amphiprion clarkii	not applicable	tail fin	male	2014-06-16	adult
APCL14_127_L0991	L0991	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-16	juvenile
APCL14_147_L0992	L0992	Amphiprion clarkii	not applicable	tail fin	female	2014-06-16	adult
APCL14_188_L0993	L0993	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_206_L0995	L0995	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_207_L0996	L0996	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_228_L0997	L0997	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_230_L0998	L0998	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_232_L0999	L0999	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_234_L1000	L1000	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_235_L1001	L1001	Amphiprion clarkii	not applicable	tail fin	male	2014-06-18	adult
APCL14_238_L1002	L1002	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_396_L1003	L1003	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_397_L1004	L1004	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_425_L1005	L1005	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_419_L1007	L1007	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_431_L1009	L1009	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_268_L1013	L1013	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL14_295_L1014	L1014	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_296_L1015	L1015	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_298_L1016	L1016	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL14_277_L1017	L1017	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_307_L1018	L1018	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_347_L1019	L1019	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_422_L1020	L1020	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_428_L1021	L1021	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_435_L1022	L1022	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL13_102_L1071	L1071	Amphiprion clarkii	not applicable	tail fin	male	2013-05-25	adult
APCL13_103_L1072	L1072	Amphiprion clarkii	not applicable	tail fin	female	2013-05-25	adult
APCL13_104_L1073	L1073	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_105_L1074	L1074	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_106_L1075	L1075	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_107_L1076	L1076	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_108_L1077	L1077	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_110_L1078	L1078	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_112_L1079	L1079	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_184_L1080	L1080	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_114_L1081	L1081	Amphiprion clarkii	not applicable	tail fin	female	2013-05-25	adult
APCL13_115_L1082	L1082	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_117_L1083	L1083	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_120_L1084	L1084	Amphiprion clarkii	not applicable	tail fin	male	2013-05-25	adult
APCL13_121_L1085	L1085	Amphiprion clarkii	not applicable	tail fin	female	2013-05-25	adult
APCL13_124_L1087	L1087	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_125_L1088	L1088	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_126_L1089	L1089	Amphiprion clarkii	not applicable	tail fin	male	2013-05-25	adult
APCL13_127_L1090	L1090	Amphiprion clarkii	not applicable	tail fin	female	2013-05-25	adult
APCL13_128_L1091	L1091	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_131_L1092	L1092	Amphiprion clarkii	not applicable	tail fin	male	2013-05-25	adult
APCL13_132_L1093	L1093	Amphiprion clarkii	not applicable	tail fin	male	2013-05-26	adult
APCL13_133_L1094	L1094	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_134_L1095	L1095	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_135_L1096	L1096	Amphiprion clarkii	not applicable	tail fin	female	2013-05-26	adult
APCL13_144_L1097	L1097	Amphiprion clarkii	not applicable	tail fin	male	2013-05-26	adult
APCL13_146_L1099	L1099	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_149_L1100	L1100	Amphiprion clarkii	not applicable	tail fin	male	2013-05-26	adult
APCL13_150_L1101	L1101	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_152_L1102	L1102	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_155_L1103	L1103	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_157_L1104	L1104	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_158_L1105	L1105	Amphiprion clarkii	not applicable	tail fin	male	2013-05-26	adult
APCL13_160_L1107	L1107	Amphiprion clarkii	not applicable	tail fin	female	2013-05-26	adult
APCL13_161_L1108	L1108	Amphiprion clarkii	not applicable	tail fin	female	2013-05-26	adult
APCL13_162_L1109	L1109	Amphiprion clarkii	not applicable	tail fin	female	2013-05-26	adult
APCL13_165_L1110	L1110	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_166_L1111	L1111	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_167_L1112	L1112	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_168_L1113	L1113	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_169_L1114	L1114	Amphiprion clarkii	not applicable	tail fin	female	2013-05-26	adult
APCL13_170_L1115	L1115	Amphiprion clarkii	not applicable	tail fin	male	2013-05-26	adult
APCL13_171_L1116	L1116	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_172_L1117	L1117	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_173_L1118	L1118	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL14_173_L1167	L1167	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_272_L1168	L1168	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_415_L1172	L1172	Amphiprion clarkii	not applicable	tail fin	female	2014-06-23	adult
APCL13_592_L1181	L1181	Amphiprion clarkii	not applicable	tail fin	female	2013-06-03	adult
APCL14_263_L1182	L1182	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_222_L1183	L1183	Amphiprion clarkii	not applicable	tail fin	male	2014-06-18	adult
APCL14_265_L1184	L1184	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL14_267_L1185	L1185	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_275_L1186	L1186	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_172_L1187	L1187	Amphiprion clarkii	not applicable	tail fin	male	2014-06-17	adult
